,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Effective To Date,mm,dd
2184,Oregon,0,Extended,College,Employed,0,Urban,Single,Personal Auto,2,1,Web,SUV,Medsize,2011-01-27,1,27
2185,Oregon,1,Extended,College,other,1,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Small,2011-02-01,2,1
2186,California,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-01,2,1
2187,Arizona,0,Extended,Bachelor,Unemployed,1,Suburban,Single,Corporate Auto,1,1,Call Center,Four-Door Car,Medsize,2011-01-13,1,13
2188,California,0,Basic,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,3,1,Branch,Sports Car,Medsize,2011-02-13,2,13
2189,Oregon,0,Premium,High School or Below,Employed,1,Rural,Single,Personal Auto,3,3,Agent,Two-Door Car,Medsize,2011-01-26,1,26
2190,California,0,Premium,College,Employed,1,Rural,Single,Personal Auto,2,1,Web,SUV,Large,2011-02-24,2,24
2191,Oregon,0,Extended,College,Employed,1,Rural,Divorced,Personal Auto,3,3,Call Center,Four-Door Car,Medsize,2011-01-19,1,19
2192,Arizona,1,Extended,College,Unemployed,0,Suburban,Married,Personal Auto,2,2,Agent,SUV,Medsize,2011-01-19,1,19
2193,Washington,0,Basic,Bachelor,Unemployed,1,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-18,2,18
2194,Oregon,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,1,1,Call Center,Four-Door Car,Medsize,2011-01-24,1,24
2195,Oregon,0,Basic,Doctor,Employed,1,Urban,Single,Personal Auto,1,1,Call Center,Two-Door Car,Medsize,2011-02-19,2,19
2196,California,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-24,2,24
2197,Washington,1,Extended,Doctor,Employed,0,Rural,Divorced,Corporate Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-18,2,18
2198,California,0,Basic,College,Employed,1,Rural,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-01-21,1,21
2199,California,0,Extended,Bachelor,Employed,0,Urban,Married,Corporate Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-29,1,29
2200,Oregon,0,Extended,Master,Employed,0,Rural,Divorced,Corporate Auto,2,4,Branch,Four-Door Car,Medsize,2011-02-10,2,10
2201,California,0,Basic,College,Employed,1,Rural,Divorced,Special Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-15,1,15
2202,Washington,0,Extended,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,1,1,Branch,Two-Door Car,Medsize,2011-02-06,2,6
2203,Oregon,0,Extended,Master,Unemployed,1,Urban,Married,Personal Auto,3,2,Branch,Four-Door Car,Large,2011-02-26,2,26
2204,Oregon,1,Extended,High School or Below,other,1,Suburban,Divorced,Corporate Auto,1,1,Agent,Four-Door Car,Large,2011-02-19,2,19
2205,Arizona,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-05,2,5
2206,Oregon,0,Basic,College,Employed,1,Urban,Married,Personal Auto,2,1,Branch,SUV,Medsize,2011-01-17,1,17
2207,California,0,Premium,Bachelor,Employed,0,Rural,Married,Personal Auto,2,1,Call Center,Two-Door Car,Medsize,2011-02-02,2,2
2208,Oregon,1,Premium,High School or Below,Employed,0,Suburban,Divorced,Corporate Auto,2,1,Agent,Luxury,Medsize,2011-02-08,2,8
2209,Oregon,0,Extended,Bachelor,other,0,Suburban,Married,Personal Auto,3,1,Branch,Two-Door Car,Small,2011-02-17,2,17
2210,Arizona,0,Basic,College,Unemployed,1,Suburban,Single,Personal Auto,3,3,Agent,Two-Door Car,Small,2011-01-08,1,8
2211,Arizona,0,Basic,College,Employed,0,Suburban,Married,Special Auto,2,2,Call Center,Two-Door Car,Small,2011-02-21,2,21
2212,Oregon,0,Basic,Bachelor,Employed,0,Urban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-01-19,1,19
2213,Arizona,0,Basic,Bachelor,Employed,1,Urban,Married,Corporate Auto,2,1,Agent,SUV,Medsize,2011-02-01,2,1
2214,Oregon,0,Premium,Doctor,Employed,1,Urban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-02-08,2,8
2215,Arizona,0,Premium,Master,Employed,1,Rural,Single,Corporate Auto,3,1,Web,Two-Door Car,Medsize,2011-01-18,1,18
2216,Arizona,0,Extended,College,other,0,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-02,1,2
2217,Nevada,0,Premium,College,Employed,0,Suburban,Divorced,Personal Auto,3,2,Call Center,Four-Door Car,Large,2011-02-19,2,19
2218,California,1,Basic,College,other,0,Suburban,Single,Corporate Auto,2,1,Agent,Two-Door Car,Medsize,2011-01-10,1,10
2219,Arizona,0,Extended,College,other,1,Rural,Divorced,Corporate Auto,2,1,Branch,SUV,Medsize,2011-01-19,1,19
2220,California,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,1,1,Branch,Two-Door Car,Small,2011-02-13,2,13
2221,California,0,Basic,College,Employed,0,Suburban,Single,Personal Auto,3,4,Call Center,Four-Door Car,Small,2011-01-09,1,9
2222,Washington,0,Extended,Master,other,0,Suburban,Married,Corporate Auto,1,3,Web,Four-Door Car,Medsize,2011-01-24,1,24
2223,Washington,0,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-19,1,19
2224,Nevada,0,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-02-11,2,11
2225,Arizona,1,Premium,High School or Below,Employed,0,Suburban,Divorced,Personal Auto,2,1,Agent,Luxury,Medsize,2011-02-08,2,8
2226,California,0,Extended,High School or Below,Unemployed,0,Suburban,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-02-09,2,9
2227,California,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,2,1,Agent,Two-Door Car,Medsize,2011-01-02,1,2
2228,California,0,Extended,College,Employed,0,Rural,Single,Personal Auto,1,4,Call Center,Two-Door Car,Medsize,2011-01-03,1,3
2229,California,0,Basic,Bachelor,Employed,0,Rural,Married,Personal Auto,2,4,Call Center,Luxury,Medsize,2011-01-10,1,10
2230,Oregon,0,Basic,Bachelor,Employed,0,Suburban,Divorced,Corporate Auto,3,1,Web,Luxury,Medsize,2011-02-23,2,23
2231,California,0,Basic,Bachelor,Employed,0,Rural,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-02,2,2
2232,California,0,Basic,High School or Below,Employed,1,Suburban,Married,Corporate Auto,1,4,Call Center,SUV,Medsize,2011-02-18,2,18
2233,Nevada,0,Extended,High School or Below,Employed,1,Rural,Married,Special Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-20,2,20
2234,Nevada,1,Extended,College,Employed,0,Rural,Married,Personal Auto,3,2,Agent,Sports Car,Medsize,2011-01-07,1,7
2235,California,0,Extended,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,3,4,Branch,Four-Door Car,Small,2011-02-19,2,19
2236,Nevada,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,2,3,Agent,Four-Door Car,Medsize,2011-02-06,2,6
2237,Oregon,0,Premium,Bachelor,Unemployed,1,Rural,Married,Corporate Auto,3,2,Branch,SUV,Small,2011-01-30,1,30
2238,California,0,Basic,Bachelor,Employed,0,Urban,Married,Personal Auto,1,2,Branch,SUV,Large,2011-01-19,1,19
2239,Nevada,0,Extended,High School or Below,Employed,0,Rural,Divorced,Corporate Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-01,2,1
2240,Oregon,0,Extended,College,Unemployed,1,Suburban,Single,Personal Auto,1,2,Agent,SUV,Medsize,2011-02-26,2,26
2241,Washington,1,Basic,High School or Below,Employed,1,Rural,Single,Corporate Auto,3,2,Agent,Four-Door Car,Medsize,2011-02-14,2,14
2242,Arizona,0,Basic,College,Unemployed,1,Suburban,Married,Personal Auto,1,1,Web,Four-Door Car,Small,2011-02-23,2,23
2243,Arizona,0,Basic,College,Employed,0,Suburban,Married,Corporate Auto,3,3,Agent,Four-Door Car,Medsize,2011-02-18,2,18
2244,Washington,0,Extended,College,Employed,1,Urban,Single,Personal Auto,2,1,Agent,SUV,Medsize,2011-02-02,2,2
2245,Arizona,0,Extended,College,Unemployed,1,Suburban,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-06,1,6
2246,Nevada,0,Basic,High School or Below,Employed,1,Rural,Married,Personal Auto,1,3,Agent,Four-Door Car,Medsize,2011-02-21,2,21
2247,California,0,Basic,High School or Below,Employed,1,Urban,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-01-30,1,30
2248,Arizona,0,Extended,College,Unemployed,1,Suburban,Single,Personal Auto,2,3,Branch,SUV,Medsize,2011-01-26,1,26
2249,Oregon,0,Premium,College,Unemployed,0,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Small,2011-01-24,1,24
2250,Arizona,0,Basic,High School or Below,other,1,Urban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-07,1,7
2251,Arizona,0,Basic,College,Employed,0,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-03,2,3
2252,Oregon,0,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-10,1,10
2253,California,0,Extended,College,Employed,1,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-03,2,3
2254,Nevada,0,Extended,College,Employed,0,Suburban,Single,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-03,1,3
2255,California,0,Basic,Doctor,Employed,0,Rural,Divorced,Corporate Auto,3,1,Web,Four-Door Car,Medsize,2011-01-19,1,19
2256,Arizona,0,Extended,Bachelor,Employed,0,Suburban,Divorced,Personal Auto,2,2,Branch,Four-Door Car,Medsize,2011-02-07,2,7
2257,Arizona,0,Basic,Doctor,Employed,0,Suburban,Married,Personal Auto,3,4,Branch,Four-Door Car,Medsize,2011-01-03,1,3
2258,Oregon,0,Premium,High School or Below,Employed,0,Suburban,Married,Corporate Auto,1,1,Branch,Four-Door Car,Medsize,2011-02-22,2,22
2259,Washington,0,Basic,Bachelor,other,0,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-26,2,26
2260,Oregon,1,Extended,College,other,0,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Small,2011-01-05,1,5
2261,California,1,Extended,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,1,1,Agent,Luxury,Medsize,2011-02-10,2,10
2262,California,0,Basic,College,Employed,0,Urban,Married,Personal Auto,3,3,Branch,SUV,Medsize,2011-02-13,2,13
2263,Oregon,0,Premium,College,other,1,Suburban,Married,Personal Auto,1,3,Call Center,Two-Door Car,Medsize,2011-02-08,2,8
2264,Oregon,0,Basic,Master,Employed,0,Rural,Married,Corporate Auto,2,1,Branch,SUV,Medsize,2011-02-25,2,25
2265,Nevada,0,Basic,College,other,1,Suburban,Married,Personal Auto,2,1,Branch,SUV,Small,2011-02-27,2,27
2266,Oregon,0,Premium,College,Employed,0,Rural,Married,Personal Auto,2,2,Branch,SUV,Large,2011-01-31,1,31
2267,Washington,0,Basic,Master,Employed,0,Rural,Married,Personal Auto,2,2,Web,Four-Door Car,Large,2011-02-18,2,18
2268,Oregon,1,Basic,High School or Below,Employed,1,Urban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-29,1,29
2269,Nevada,0,Basic,High School or Below,Employed,1,Urban,Married,Personal Auto,1,4,Call Center,Four-Door Car,Medsize,2011-01-15,1,15
2270,California,0,Extended,Bachelor,Unemployed,0,Suburban,Married,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-02-14,2,14
2271,California,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,3,3,Branch,SUV,Medsize,2011-02-21,2,21
2272,Arizona,1,Basic,Master,Employed,1,Rural,Single,Corporate Auto,2,2,Web,Four-Door Car,Medsize,2011-01-14,1,14
2273,California,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-29,1,29
2274,California,0,Basic,High School or Below,Employed,1,Suburban,Single,Personal Auto,2,1,Agent,Two-Door Car,Medsize,2011-01-19,1,19
2275,Washington,1,Basic,Master,Employed,1,Suburban,Married,Personal Auto,1,2,Agent,Four-Door Car,Small,2011-02-03,2,3
2276,Oregon,0,Basic,College,Employed,1,Suburban,Married,Special Auto,3,4,Branch,Four-Door Car,Medsize,2011-01-09,1,9
2277,Arizona,0,Basic,Bachelor,Unemployed,1,Rural,Married,Personal Auto,3,4,Web,Four-Door Car,Medsize,2011-01-09,1,9
2278,Nevada,0,Basic,College,Unemployed,0,Suburban,Married,Personal Auto,2,3,Branch,Two-Door Car,Medsize,2011-02-25,2,25
2279,California,0,Basic,High School or Below,Employed,0,Suburban,Married,Corporate Auto,1,1,Branch,Four-Door Car,Medsize,2011-02-04,2,4
2280,Washington,0,Basic,High School or Below,Employed,1,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-12,2,12
2281,Arizona,0,Premium,College,Employed,0,Urban,Married,Corporate Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-23,2,23
2282,Oregon,0,Basic,High School or Below,Employed,1,Suburban,Divorced,Personal Auto,3,1,Branch,Four-Door Car,Small,2011-02-24,2,24
2283,Washington,0,Extended,High School or Below,other,0,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-01-12,1,12
2284,Nevada,1,Extended,Bachelor,Unemployed,1,Suburban,Divorced,Corporate Auto,3,1,Call Center,Two-Door Car,Large,2011-01-27,1,27
2285,Arizona,0,Basic,Master,Employed,1,Urban,Married,Personal Auto,2,1,Agent,SUV,Medsize,2011-01-26,1,26
2286,Arizona,0,Extended,Bachelor,Employed,1,Suburban,Married,Special Auto,1,1,Branch,Luxury,Medsize,2011-02-19,2,19
2287,Arizona,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,2,4,Branch,SUV,Medsize,2011-02-13,2,13
2288,Nevada,0,Basic,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-04,2,4
2289,Nevada,0,Basic,Master,Employed,1,Suburban,Married,Personal Auto,3,1,Call Center,SUV,Large,2011-02-28,2,28
2290,Oregon,0,Extended,College,Employed,0,Urban,Married,Personal Auto,1,3,Call Center,Two-Door Car,Medsize,2011-02-22,2,22
2291,Oregon,0,Basic,College,Employed,1,Urban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-11,2,11
2292,Arizona,0,Basic,Master,Employed,0,Urban,Married,Personal Auto,3,3,Agent,Luxury,Medsize,2011-02-25,2,25
2293,California,0,Basic,Master,Employed,1,Suburban,Married,Personal Auto,2,4,Agent,Four-Door Car,Small,2011-02-20,2,20
2294,Washington,0,Extended,High School or Below,Employed,0,Suburban,Married,Personal Auto,1,1,Branch,Luxury,Medsize,2011-01-29,1,29
2295,Arizona,0,Extended,Master,Employed,0,Rural,Married,Personal Auto,3,4,Agent,SUV,Medsize,2011-01-10,1,10
2296,Oregon,0,Extended,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,4,Call Center,Four-Door Car,Medsize,2011-01-24,1,24
2297,Oregon,0,Basic,Bachelor,Unemployed,1,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Small,2011-02-02,2,2
2298,Oregon,0,Basic,High School or Below,Employed,0,Rural,Single,Personal Auto,2,3,Call Center,SUV,Medsize,2011-01-09,1,9
2299,Oregon,0,Basic,Bachelor,Employed,1,Rural,Married,Special Auto,3,4,Web,Four-Door Car,Medsize,2011-02-28,2,28
2300,Arizona,1,Premium,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Small,2011-02-14,2,14
2301,California,0,Basic,College,Employed,1,Suburban,Married,Corporate Auto,3,1,Call Center,SUV,Medsize,2011-01-05,1,5
2302,Arizona,0,Premium,College,Employed,1,Urban,Divorced,Personal Auto,3,1,Branch,Two-Door Car,Large,2011-01-29,1,29
2303,California,0,Basic,College,Employed,1,Urban,Married,Personal Auto,2,1,Agent,SUV,Small,2011-02-18,2,18
2304,California,0,Basic,College,Employed,1,Suburban,Divorced,Corporate Auto,2,1,Agent,SUV,Small,2011-01-19,1,19
2305,California,0,Extended,High School or Below,Unemployed,0,Rural,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-24,1,24
2306,Oregon,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,1,3,Agent,Four-Door Car,Medsize,2011-02-16,2,16
2307,Oregon,0,Extended,High School or Below,Employed,0,Rural,Married,Personal Auto,1,3,Web,Two-Door Car,Medsize,2011-01-01,1,1
2308,Washington,0,Extended,Master,Employed,1,Rural,Married,Personal Auto,3,2,Call Center,SUV,Medsize,2011-02-04,2,4
2309,Nevada,0,Extended,College,Unemployed,1,Urban,Married,Personal Auto,3,3,Branch,SUV,Small,2011-01-13,1,13
2310,California,0,Basic,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,3,1,Web,Luxury,Small,2011-01-19,1,19
2311,Oregon,0,Extended,Master,Unemployed,0,Suburban,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-01-29,1,29
2312,Arizona,1,Extended,Master,Employed,0,Urban,Married,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-16,1,16
2313,California,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-06,2,6
2314,California,0,Basic,College,Employed,1,Suburban,Single,Personal Auto,3,3,Agent,Luxury,Small,2011-02-12,2,12
2315,Nevada,0,Basic,College,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-25,2,25
2316,Oregon,1,Premium,College,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-16,2,16
2317,Arizona,0,Basic,Doctor,Unemployed,0,Suburban,Married,Personal Auto,3,3,Web,SUV,Medsize,2011-02-27,2,27
2318,California,0,Extended,College,Unemployed,0,Suburban,Single,Personal Auto,3,3,Web,SUV,Medsize,2011-02-21,2,21
2319,California,0,Basic,Master,other,0,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-04,1,4
2320,Arizona,0,Basic,Master,other,0,Suburban,Divorced,Personal Auto,3,4,Web,Four-Door Car,Large,2011-01-23,1,23
2321,Oregon,0,Extended,High School or Below,Employed,1,Rural,Divorced,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-14,1,14
2322,Arizona,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Corporate Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-14,1,14
2323,Arizona,0,Basic,High School or Below,Unemployed,1,Rural,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-02-04,2,4
2324,Oregon,0,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,4,Agent,Two-Door Car,Small,2011-02-01,2,1
2325,California,0,Basic,Master,Employed,1,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-02-14,2,14
2326,Washington,0,Basic,College,Employed,1,Suburban,Married,Corporate Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-11,1,11
2327,California,0,Extended,High School or Below,Employed,0,Suburban,Married,Personal Auto,1,2,Branch,Four-Door Car,Medsize,2011-01-31,1,31
2328,California,1,Basic,Bachelor,Unemployed,0,Suburban,Married,Personal Auto,1,1,Agent,SUV,Large,2011-02-19,2,19
2329,Oregon,0,Basic,College,Employed,0,Suburban,Married,Corporate Auto,3,1,Branch,Four-Door Car,Medsize,2011-01-16,1,16
2330,California,0,Premium,High School or Below,Unemployed,0,Suburban,Single,Corporate Auto,3,2,Agent,Two-Door Car,Small,2011-01-05,1,5
2331,Oregon,0,Extended,College,Unemployed,0,Suburban,Single,Personal Auto,1,3,Call Center,SUV,Medsize,2011-01-24,1,24
2332,Oregon,0,Basic,Bachelor,Unemployed,0,Suburban,Married,Personal Auto,3,1,Branch,Two-Door Car,Medsize,2011-02-07,2,7
2333,Arizona,0,Basic,College,Unemployed,0,Suburban,Single,Special Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-29,1,29
2334,Nevada,0,Basic,High School or Below,Employed,0,Rural,Single,Corporate Auto,1,4,Agent,Four-Door Car,Medsize,2011-02-21,2,21
2335,Arizona,0,Extended,Bachelor,Employed,1,Rural,Divorced,Personal Auto,2,1,Call Center,SUV,Medsize,2011-02-02,2,2
2336,California,0,Extended,Doctor,other,0,Suburban,Divorced,Personal Auto,1,3,Agent,Luxury,Medsize,2011-02-12,2,12
2337,Arizona,0,Basic,High School or Below,Employed,0,Rural,Married,Personal Auto,2,2,Agent,SUV,Medsize,2011-01-30,1,30
2338,California,0,Premium,College,Employed,0,Suburban,Married,Corporate Auto,1,1,Branch,Sports Car,Medsize,2011-01-17,1,17
2339,California,0,Basic,College,Employed,0,Urban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize,2011-01-14,1,14
2340,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Personal Auto,3,4,Web,Two-Door Car,Medsize,2011-01-26,1,26
2341,Oregon,0,Extended,College,Unemployed,1,Suburban,Single,Corporate Auto,3,1,Branch,Four-Door Car,Small,2011-01-27,1,27
2342,Oregon,0,Extended,Bachelor,Employed,0,Urban,Single,Personal Auto,2,1,Agent,SUV,Medsize,2011-02-14,2,14
2343,Nevada,0,Extended,High School or Below,Unemployed,0,Suburban,Single,Special Auto,3,3,Agent,Four-Door Car,Small,2011-01-29,1,29
2344,Oregon,0,Extended,Bachelor,Unemployed,0,Suburban,Married,Special Auto,2,2,Agent,Two-Door Car,Medsize,2011-02-19,2,19
2345,Arizona,0,Extended,Bachelor,Employed,0,Rural,Single,Personal Auto,3,3,Web,Four-Door Car,Large,2011-01-12,1,12
2346,Oregon,0,Basic,Bachelor,other,0,Suburban,Single,Corporate Auto,3,3,Branch,Four-Door Car,Medsize,2011-02-05,2,5
2347,Washington,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,3,2,Web,SUV,Small,2011-02-24,2,24
2348,Oregon,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Medsize,2011-02-16,2,16
2349,Nevada,0,Basic,College,Unemployed,0,Suburban,Single,Personal Auto,3,1,Call Center,SUV,Large,2011-01-16,1,16
2350,Oregon,0,Basic,College,Employed,1,Suburban,Married,Personal Auto,3,2,Call Center,Luxury,Large,2011-01-15,1,15
2351,California,0,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,3,3,Call Center,Four-Door Car,Small,2011-01-10,1,10
2352,Arizona,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Corporate Auto,2,1,Branch,SUV,Medsize,2011-02-08,2,8
2353,California,0,Basic,College,other,1,Suburban,Single,Personal Auto,1,2,Agent,Sports Car,Medsize,2011-01-24,1,24
2354,Arizona,0,Basic,College,Employed,1,Rural,Married,Personal Auto,3,3,Branch,Four-Door Car,Small,2011-02-11,2,11
2355,California,0,Basic,High School or Below,Employed,1,Suburban,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-01-22,1,22
2356,California,0,Basic,Bachelor,Employed,0,Rural,Married,Personal Auto,2,2,Call Center,SUV,Medsize,2011-02-07,2,7
2357,Oregon,1,Extended,Bachelor,other,1,Suburban,Divorced,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-01-03,1,3
2358,Oregon,1,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,3,2,Agent,Four-Door Car,Small,2011-02-28,2,28
2359,Washington,1,Premium,Bachelor,Employed,1,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize,2011-01-28,1,28
2360,Oregon,0,Extended,Bachelor,Employed,1,Urban,Married,Personal Auto,2,1,Branch,SUV,Medsize,2011-02-18,2,18
2361,California,0,Basic,High School or Below,Employed,0,Rural,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-03,1,3
2362,California,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,2,1,Call Center,Four-Door Car,Small,2011-02-14,2,14
2363,California,1,Basic,College,Employed,0,Rural,Married,Corporate Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-28,1,28
2364,Washington,0,Premium,College,Employed,1,Rural,Married,Personal Auto,1,1,Agent,SUV,Medsize,2011-01-07,1,7
2365,Oregon,0,Basic,Bachelor,Employed,0,Urban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-05,2,5
2366,Nevada,0,Extended,College,Employed,0,Suburban,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-03,2,3
2367,Oregon,0,Basic,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Medsize,2011-01-06,1,6
2368,Arizona,1,Extended,Bachelor,other,1,Suburban,Divorced,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-01-03,1,3
2369,Nevada,0,Basic,College,Employed,1,Rural,Divorced,Personal Auto,2,1,Branch,Four-Door Car,Small,2011-01-05,1,5
2370,Oregon,0,Extended,Bachelor,Employed,1,Rural,Married,Personal Auto,3,4,Branch,Four-Door Car,Medsize,2011-01-25,1,25
2371,Nevada,0,Basic,High School or Below,other,1,Suburban,Married,Personal Auto,1,2,Branch,SUV,Large,2011-01-04,1,4
2372,Oregon,0,Extended,College,other,0,Suburban,Single,Personal Auto,3,1,Call Center,Two-Door Car,Medsize,2011-01-17,1,17
2373,Arizona,1,Premium,Master,other,1,Suburban,Divorced,Personal Auto,3,1,Web,SUV,Medsize,2011-02-13,2,13
2374,Nevada,0,Extended,High School or Below,Employed,0,Urban,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-12,2,12
2375,Oregon,0,Basic,Bachelor,Employed,1,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-16,1,16
2376,Arizona,0,Basic,High School or Below,other,0,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Large,2011-01-24,1,24
2377,Oregon,0,Extended,College,Employed,1,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Small,2011-01-19,1,19
2378,Oregon,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-24,1,24
2379,California,0,Extended,College,Employed,0,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Small,2011-01-25,1,25
2380,Oregon,0,Extended,Bachelor,Unemployed,0,Urban,Single,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-27,2,27
2381,Arizona,1,Extended,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Large,2011-02-24,2,24
2382,Arizona,0,Basic,High School or Below,Employed,1,Suburban,Married,Personal Auto,1,2,Web,Two-Door Car,Medsize,2011-02-03,2,3
2383,Arizona,0,Basic,Master,Employed,1,Urban,Divorced,Personal Auto,3,4,Web,SUV,Medsize,2011-02-03,2,3
2384,Oregon,0,Extended,High School or Below,Employed,1,Suburban,Single,Personal Auto,2,1,Branch,Two-Door Car,Medsize,2011-02-17,2,17
